order_id,product_id,quantity,selling_price,discount,customer_id,order_date,region,payment_mode,category,sub_category,brand,cost_price,revenue,cost_total,profit,discount_impact,is_return,margin_pct
7,180,1,384.75,5,1044,2024-11-10,West,Debit Card,Sports & Outdoors,Team Sports,TrailBlazer,192.39,384.75,192.39,192.36,19.2375,False,50.0
8,128,2,209.0,0,67,2024-08-22,East,Wallet,Clothing,Accessories,StyleCraft,83.72,418.0,167.44,250.56,0.0,False,59.94
8,7,2,1804.0,0,67,2024-08-22,East,Wallet,Electronics,Smartwatches,SkyNet,1027.55,3608.0,2055.1,1552.9,0.0,False,43.04
8,14,1,72.2,5,67,2024-08-22,East,Wallet,Books,Educational,KnowledgeFirst,34.39,72.2,34.39,37.81,3.61,False,52.37
8,36,1,164.0,0,67,2024-08-22,East,Wallet,Clothing,Kids' Wear,UrbanFit,65.81,164.0,65.81,98.19,0.0,False,59.87
9,339,1,1922.7,15,1635,2023-02-11,North,UPI,Electronics,Smartwatches,SkyNet,1441.22,1922.7,1441.22,481.48,288.405,False,25.04
10,328,1,93.0,0,1372,2024-06-15,South,Debit Card,Clothing,Women's Wear,TrendSetter,45.94,93.0,45.94,47.06,0.0,False,50.6
11,71,1,51.85,15,1372,2023-07-09,South,UPI,Clothing,Accessories,UrbanFit,29.35,51.85,29.35,22.5,7.7775,False,43.39
12,305,3,312.8,20,675,2023-09-14,West,Net Banking,Sports & Outdoors,Camping,ActiveGear,230.1,938.4000000000001,690.3,248.10000000000014,187.68,True,26.44
13,146,2,48.0,0,607,2024-12-23,South,UPI,Books,Comics,WordCraft,17.99,96.0,35.98,60.02,0.0,False,62.52
14,370,1,78.0,0,1628,2023-10-26,West,Net Banking,Books,Magazines,WordCraft,30.16,78.0,30.16,47.84,0.0,False,61.33
14,121,3,407.2,20,1628,2023-10-26,West,Net Banking,Home & Kitchen,Storage,KitchenKing,287.15,1221.6,861.4499999999999,360.15,244.32,False,29.48
14,16,1,81.9,10,1628,2023-10-26,West,Net Banking,Clothing,Women's Wear,UrbanFit,47.31,81.9,47.31,34.59,8.19,False,42.23
14,252,3,564.0,25,1628,2023-10-26,West,Net Banking,Home & Kitchen,Bedding,HomeEase,410.2,1692.0,1230.6,461.4000000000001,423.0,False,27.27
14,150,2,450.75,25,1628,2023-10-26,West,Net Banking,Home & Kitchen,Bedding,LivingSpace,343.94,901.5,687.88,213.62,225.375,False,23.7
15,366,1,185.3,15,1372,2023-11-25,South,Credit Card,Clothing,Footwear,StyleCraft,103.85,185.3,103.85,81.45000000000002,27.795,False,43.96
15,415,2,253.0,0,1372,2023-11-25,South,Credit Card,Home & Kitchen,Bedding,HomeEase,146.48,506.0,292.96,213.04000000000002,0.0,False,42.1
15,314,3,84.6,10,1372,2023-11-25,South,Credit Card,Clothing,Footwear,FashionHub,102.31,253.79999999999998,306.93,-53.130000000000024,25.38,False,-20.93
15,331,2,26.0,0,1372,2023-11-25,South,Credit Card,Books,Educational,WordCraft,10.13,52.0,20.26,31.74,0.0,False,61.04
16,27,1,541.8,10,1327,2024-04-29,South,UPI,Electronics,Laptops,NovaTech,353.71,541.8,353.71,188.08999999999997,54.18,False,34.72
17,70,2,421.6,20,1261,2023-01-28,West,Net Banking,Home & Kitchen,Cookware,HomeEase,295.62,843.2,591.24,251.96000000000004,168.64,False,29.88
18,178,3,1775.25,25,471,2024-06-28,West,COD,Electronics,Laptops,TechPro,1521.67,5325.75,4565.01,760.7399999999998,1331.4375,False,14.28
19,26,1,207.0,0,1372,2024-05-30,South,Net Banking,Clothing,Accessories,FashionHub,83.08,207.0,83.08,123.92,0.0,False,59.86
19,123,1,214.7,5,1372,2024-05-30,South,Net Banking,Clothing,Accessories,StyleCraft,93.44,214.7,93.44,121.25999999999999,10.735,False,56.48
20,51,1,407.15,15,9,2023-03-29,West,Net Banking,Home & Kitchen,Storage,HomeEase,245.72,407.15,245.72,161.42999999999998,61.0725,False,39.65
20,486,1,78.2,15,9,2023-03-29,West,Net Banking,Home & Kitchen,Furniture,DreamHome,54.34,78.2,54.34,23.86,11.73,False,30.51
20,120,1,274.0,0,9,2023-03-29,West,Net Banking,Clothing,Kids' Wear,StyleCraft,112.7,274.0,112.7,161.3,0.0,False,58.87
21,399,2,184.5,10,1055,2024-06-17,West,Credit Card,Home & Kitchen,Storage,HomeEase,121.13,369.0,242.26,126.74000000000001,36.9,False,34.35
21,277,1,51.3,10,1055,2024-06-17,West,Credit Card,Clothing,Kids' Wear,TrendSetter,29.95,51.3,29.95,21.349999999999998,5.13,True,41.62
22,124,1,376.2,10,608,2024-10-15,South,Debit Card,Sports & Outdoors,Camping,TrailBlazer,238.72,376.2,238.72,137.48,37.62,False,36.54
23,467,1,127.8,10,664,2023-05-09,North,Credit Card,Home & Kitchen,Storage,DreamHome,82.57,127.8,82.57,45.230000000000004,12.78,False,35.39
23,142,1,552.0,25,664,2023-05-09,North,Credit Card,Home & Kitchen,Cookware,KitchenKing,468.0,552.0,468.0,84.0,138.0,False,15.22
24,480,1,114.75,15,830,2024-05-04,South,Wallet,Sports & Outdoors,Fitness,TrailBlazer,62.27,114.75,62.27,52.48,17.2125,False,45.73
25,282,1,248.2,15,856,2023-06-04,East,UPI,Clothing,Women's Wear,ClassicWear,133.58,248.2,133.58,114.61999999999998,37.23,False,46.18
26,374,1,1334.25,25,1773,2023-10-17,East,Wallet,Electronics,Mobile Phones,SkyNet,1091.42,1334.25,1091.42,242.82999999999993,333.5625,True,18.2
26,339,1,1583.4,30,1773,2023-10-17,East,Wallet,Electronics,Smartwatches,SkyNet,1441.22,1583.4,1441.22,142.18000000000006,475.02,False,8.98
27,189,2,457.3,15,830,2023-11-16,South,Net Banking,Home & Kitchen,Cookware,ComfortPro,320.15,914.6,640.3,274.30000000000007,137.19,False,29.99
28,415,1,240.35,5,518,2024-05-19,West,Wallet,Home & Kitchen,Bedding,HomeEase,146.48,240.35,146.48,93.87,12.0175,False,39.06
28,25,3,352.75,15,518,2024-05-19,West,Wallet,Home & Kitchen,Decor,KitchenKing,263.63,1058.25,790.89,267.36,158.7375,False,25.26
29,282,1,292.0,0,1773,2024-07-01,East,UPI,Clothing,Women's Wear,ClassicWear,133.58,292.0,133.58,158.42,0.0,False,54.25
30,468,2,121.6,5,830,2024-12-19,South,COD,Clothing,Women's Wear,UrbanFit,54.69,243.2,109.38,133.82,12.16,True,55.02
30,241,3,353.6,15,830,2024-12-19,South,COD,Sports & Outdoors,Team Sports,FitLife,227.27,1060.8000000000002,681.8100000000001,378.9900000000001,159.12000000000003,False,35.73
31,84,1,46.55,5,830,2024-03-31,South,UPI,Books,Non-Fiction,WordCraft,23.46,46.55,23.46,23.089999999999996,2.3275,False,49.6
31,374,3,1779.0,0,830,2024-03-31,South,UPI,Electronics,Mobile Phones,SkyNet,1091.42,5337.0,3274.26,2062.74,0.0,False,38.65
31,496,2,394.0,0,830,2024-03-31,South,UPI,Sports & Outdoors,Cycling,SportMax,207.6,788.0,415.2,372.8,0.0,False,47.31
32,29,1,37.8,10,1131,2023-08-31,South,Debit Card,Books,Non-Fiction,WordCraft,18.52,37.8,18.52,19.279999999999998,3.78,False,51.01
32,92,1,203.0,0,1131,2023-08-31,South,Debit Card,Clothing,Men's Wear,TrendSetter,104.24,203.0,104.24,98.76,0.0,False,48.65
32,455,2,171.0,5,1131,2023-08-31,South,Debit Card,Home & Kitchen,Furniture,KitchenKing,90.67,342.0,181.34,160.66,17.1,False,46.98
32,456,1,2612.8,20,1131,2023-08-31,South,Debit Card,Electronics,Cameras,ZoomTech,2059.17,2612.8,2059.17,553.6300000000001,522.56,False,21.19
33,489,1,255.85,15,538,2024-05-18,South,Credit Card,Home & Kitchen,Furniture,ComfortPro,162.11,255.85,162.11,93.73999999999998,38.3775,False,36.64
33,233,1,3101.4,10,538,2024-05-18,South,Credit Card,Electronics,Headphones,ZoomTech,2013.5,3101.4,2013.5,1087.9,310.14,True,35.08
33,457,2,89.3,5,538,2024-05-18,South,Credit Card,Home & Kitchen,Cookware,KitchenKing,47.87,178.6,95.74,82.86,8.93,False,46.39
34,346,2,37.05,5,830,2024-03-08,South,UPI,Books,Educational,PageTurner,18.04,74.1,36.08,38.019999999999996,3.705,False,51.31
34,485,1,210.8,15,830,2024-03-08,South,UPI,Clothing,Men's Wear,FashionHub,115.46,210.8,115.46,95.34000000000002,31.62,False,45.23
35,63,1,532.0,0,221,2024-05-03,West,UPI,Home & Kitchen,Decor,LivingSpace,308.84,532.0,308.84,223.16000000000003,0.0,False,41.95
35,4,1,98.0,0,221,2024-05-03,West,UPI,Sports & Outdoors,Fitness,OutdoorPro,54.61,98.0,54.61,43.39,0.0,False,44.28
36,165,1,159.8,15,114,2024-01-01,West,Credit Card,Clothing,Footwear,FashionHub,76.67,159.8,76.67,83.13000000000001,23.97,False,52.02
36,130,1,112.0,0,114,2024-01-01,West,Credit Card,Clothing,Footwear,ClassicWear,46.7,112.0,46.7,65.3,0.0,False,58.3
36,454,1,218.7,10,114,2024-01-01,West,Credit Card,Sports & Outdoors,Yoga,OutdoorPro,124.8,218.7,124.8,93.89999999999999,21.87,False,42.94
37,339,3,1470.3,35,1372,2024-12-05,South,Net Banking,Electronics,Smartwatches,SkyNet,1441.22,4410.9,4323.66,87.23999999999978,1543.815,False,1.98
37,311,1,58.0,0,1372,2024-12-05,South,Net Banking,Books,Magazines,KnowledgeFirst,25.64,58.0,25.64,32.36,0.0,False,55.79
38,417,2,2822.0,15,1814,2023-12-19,North,Credit Card,Electronics,Smartwatches,ZoomTech,2318.7,5644.0,4637.4,1006.6000000000004,846.6,False,17.83
38,284,1,1734.85,15,1814,2023-12-19,North,Credit Card,Electronics,Mobile Phones,Electra,1271.67,1734.85,1271.67,463.17999999999984,260.2275,False,26.7
39,50,1,2216.5,35,1538,2025-02-24,West,Debit Card,Electronics,Headphones,Electra,2357.28,2216.5,2357.28,-140.7800000000002,775.775,False,-6.35
39,482,1,133.0,0,1538,2025-02-24,West,Debit Card,Clothing,Footwear,TrendSetter,67.32,133.0,67.32,65.68,0.0,False,49.38
40,268,2,383.4,10,221,2024-10-05,West,COD,Sports & Outdoors,Yoga,FitLife,196.72,766.8,393.44,373.35999999999996,76.68,False,48.69
40,361,1,341.7,15,221,2024-10-05,West,COD,Home & Kitchen,Cookware,ComfortPro,207.79,341.7,207.79,133.91,51.255,True,39.19
41,322,1,38.0,5,1811,2024-05-10,East,Wallet,Books,Educational,LearnHub,16.89,38.0,16.89,21.11,1.9,False,55.55
41,354,2,153.0,0,1811,2024-05-10,East,Wallet,Clothing,Men's Wear,StyleCraft,75.09,306.0,150.18,155.82,0.0,True,50.92
41,112,3,1788.5,30,1811,2024-05-10,East,Wallet,Electronics,Mobile Phones,NovaTech,1718.73,5365.5,5156.1900000000005,209.3099999999995,1609.65,False,3.9
42,272,1,141.1,15,879,2024-07-02,South,Net Banking,Clothing,Men's Wear,UrbanFit,78.68,141.1,78.68,62.41999999999999,21.165,False,44.24
43,493,1,512.0,0,142,2024-07-10,West,Credit Card,Home & Kitchen,Bedding,KitchenKing,305.98,512.0,305.98,206.01999999999998,0.0,False,40.24
44,281,1,115.6,15,97,2023-09-25,North,Debit Card,Sports & Outdoors,Team Sports,TrailBlazer,64.27,115.6,64.27,51.33,17.34,False,44.4
44,99,1,136.0,15,97,2023-09-25,North,Debit Card,Clothing,Footwear,ClassicWear,76.66,136.0,76.66,59.34,20.4,True,43.63
45,213,1,113.05,5,221,2024-11-27,West,Debit Card,Clothing,Men's Wear,UrbanFit,61.91,113.05,61.91,51.14,5.6525,False,45.24
46,346,1,37.05,5,1072,2024-12-20,South,UPI,Books,Educational,PageTurner,18.04,37.05,18.04,19.009999999999998,1.8525,False,51.31
47,291,1,1060.5,25,28,2023-04-12,West,UPI,Electronics,Smartwatches,NovaTech,942.82,1060.5,942.82,117.67999999999995,265.125,False,11.1
47,121,1,407.2,20,28,2023-04-12,West,UPI,Home & Kitchen,Storage,KitchenKing,287.15,407.2,287.15,120.05000000000001,81.44,False,29.48
48,348,2,239.2,20,1798,2023-04-14,North,Debit Card,Clothing,Men's Wear,FashionHub,154.15,478.4,308.3,170.09999999999997,95.68,False,35.56
48,269,1,228.0,0,1798,2023-04-14,North,Debit Card,Clothing,Accessories,ClassicWear,116.77,228.0,116.77,111.23,0.0,False,48.79
48,323,2,43.7,5,1798,2023-04-14,North,Debit Card,Home & Kitchen,Storage,DreamHome,24.92,87.4,49.84,37.56,4.37,False,42.97
49,145,1,262.0,0,250,2023-08-08,North,Debit Card,Home & Kitchen,Bedding,HomeEase,165.19,262.0,165.19,96.81,0.0,False,36.95
49,35,1,118.8,10,250,2023-08-08,North,Debit Card,Clothing,Kids' Wear,ClassicWear,63.13,118.8,63.13,55.669999999999995,11.88,False,46.86
49,69,3,284.05,5,250,2023-08-08,North,Debit Card,Sports & Outdoors,Camping,SportMax,167.09,852.1500000000001,501.27,350.8800000000001,42.6075,True,41.18
49,213,1,113.05,5,250,2023-08-08,North,Debit Card,Clothing,Men's Wear,UrbanFit,61.91,113.05,61.91,51.14,5.6525,False,45.24
49,269,1,182.4,20,250,2023-08-08,North,Debit Card,Clothing,Accessories,ClassicWear,116.77,182.4,116.77,65.63000000000001,36.48,False,35.98
50,321,1,65.0,0,565,2024-06-25,West,UPI,Clothing,Accessories,UrbanFit,34.57,65.0,34.57,30.43,0.0,False,46.82
50,498,1,263.0,0,565,2024-06-25,West,UPI,Clothing,Women's Wear,FashionHub,105.7,263.0,105.7,157.3,0.0,False,59.81
51,139,1,157.6,20,518,2024-05-17,West,Credit Card,Sports & Outdoors,Yoga,TrailBlazer,97.13,157.6,97.13,60.47,31.52,False,38.37
52,338,2,37.4,15,706,2024-06-30,West,UPI,Books,Fiction,LearnHub,18.45,74.8,36.9,37.9,11.22,False,50.67
52,453,3,352.8,10,706,2024-06-30,West,UPI,Sports & Outdoors,Camping,TrailBlazer,233.78,1058.4,701.34,357.06000000000006,105.84,False,33.74
52,400,1,315.0,25,706,2024-06-30,West,UPI,Home & Kitchen,Decor,ComfortPro,213.38,315.0,213.38,101.62,78.75,False,32.26
53,431,1,2727.0,10,1773,2023-05-24,East,Credit Card,Electronics,Smartwatches,TechPro,1888.9,2727.0,1888.9,838.0999999999999,272.7,False,30.73
54,470,1,56.05,5,1028,2024-06-04,East,Net Banking,Sports & Outdoors,Cycling,OutdoorPro,32.66,56.05,32.66,23.39,2.8025,False,41.73
55,51,1,383.2,20,779,2023-10-03,North,UPI,Home & Kitchen,Storage,HomeEase,245.72,383.2,245.72,137.48,76.64,False,35.88
56,403,3,101.15,15,1261,2024-06-01,West,Debit Card,Sports & Outdoors,Yoga,ActiveGear,58.61,303.45000000000005,175.82999999999998,127.62000000000006,45.51750000000001,False,42.06
56,346,1,33.15,15,1261,2024-06-01,West,Debit Card,Books,Educational,PageTurner,18.04,33.15,18.04,15.11,4.9725,True,45.58
57,27,2,541.8,10,849,2023-01-19,North,UPI,Electronics,Laptops,NovaTech,353.71,1083.6,707.42,376.17999999999995,108.36,False,34.72
57,217,1,209.95,5,849,2023-01-19,North,UPI,Clothing,Accessories,UrbanFit,94.13,209.95,94.13,115.82,10.4975,False,55.17
58,249,2,246.6,10,1773,2024-01-14,East,Credit Card,Clothing,Men's Wear,StyleCraft,111.2,493.2,222.4,270.79999999999995,49.32,False,54.91
58,66,1,35.0,0,1773,2024-01-14,East,Credit Card,Books,Non-Fiction,LearnHub,12.44,35.0,12.44,22.560000000000002,0.0,False,64.46
58,358,3,43.2,10,1773,2024-01-14,East,Credit Card,Sports & Outdoors,Cycling,SportMax,27.12,129.60000000000002,81.36,48.24000000000002,12.960000000000003,False,37.22
58,35,2,112.2,15,1773,2024-01-14,East,Credit Card,Clothing,Kids' Wear,ClassicWear,63.13,224.4,126.26,98.14,33.66,False,43.73
59,316,2,111.6,10,1773,2023-12-24,South,UPI,Home & Kitchen,Storage,DreamHome,65.56,223.2,131.12,92.07999999999998,22.32,False,41.25
60,165,2,150.4,20,82,2023-06-10,West,Credit Card,Clothing,Footwear,FashionHub,76.67,300.8,153.34,147.46,60.16,False,49.02
60,286,1,1754.0,50,82,2023-06-10,West,Credit Card,Electronics,Headphones,NovaTech,2183.97,1754.0,2183.97,-429.9699999999998,877.0,False,-24.51
61,180,1,364.5,10,1506,2023-05-01,West,Debit Card,Sports & Outdoors,Team Sports,TrailBlazer,192.39,364.5,192.39,172.11,36.45,False,47.22
61,261,1,27.0,0,1506,2023-05-01,West,Debit Card,Books,Educational,WordCraft,12.56,27.0,12.56,14.44,0.0,False,53.48
62,179,2,459.85,15,114,2023-08-19,West,Debit Card,Home & Kitchen,Cookware,LivingSpace,349.05,919.7,698.1,221.60000000000002,137.955,False,24.09
62,187,1,473.1,5,114,2023-08-19,West,Debit Card,Home & Kitchen,Decor,DreamHome,273.43,473.1,273.43,199.67000000000002,23.655,False,42.2
62,292,3,60.0,0,114,2023-08-19,West,Debit Card,Home & Kitchen,Bedding,DreamHome,35.41,180.0,106.22999999999999,73.77000000000001,0.0,False,40.98
63,414,3,152.95,5,1506,2024-09-15,West,UPI,Sports & Outdoors,Team Sports,SportMax,73.2,458.84999999999997,219.60000000000002,239.24999999999994,22.9425,False,52.14
63,394,1,391.0,0,1506,2024-09-15,West,UPI,Home & Kitchen,Bedding,DreamHome,216.32,391.0,216.32,174.68,0.0,False,44.68
63,462,1,1770.75,25,1506,2024-09-15,West,UPI,Electronics,Cameras,Electra,1375.33,1770.75,1375.33,395.4200000000001,442.6875,True,22.33
64,115,1,522.0,0,675,2023-02-11,West,Credit Card,Home & Kitchen,Bedding,DreamHome,279.17,522.0,279.17,242.82999999999998,0.0,False,46.52
65,87,1,1266.0,40,679,2024-01-12,West,Debit Card,Electronics,Laptops,ZoomTech,1292.79,1266.0,1292.79,-26.789999999999964,506.4,False,-2.12
65,166,1,1320.8,20,679,2024-01-12,West,Debit Card,Electronics,Smartwatches,NovaTech,1869.03,1320.8,1869.03,-548.23,264.16,True,-41.51
65,373,1,92.0,0,679,2024-01-12,West,Debit Card,Clothing,Men's Wear,ClassicWear,38.32,92.0,38.32,53.68,0.0,True,58.35
65,366,2,196.2,10,679,2024-01-12,West,Debit Card,Clothing,Footwear,StyleCraft,103.85,392.4,207.7,184.7,39.24,False,47.07
65,232,1,1940.4,30,679,2024-01-12,West,Debit Card,Electronics,Laptops,Electra,1841.98,1940.4,1841.98,98.42000000000007,582.12,True,5.07
66,72,1,80.1,10,1773,2024-02-18,East,Debit Card,Clothing,Men's Wear,FashionHub,37.89,80.1,37.89,42.209999999999994,8.01,False,52.7
66,217,1,221.0,0,1773,2024-02-18,East,Debit Card,Clothing,Accessories,UrbanFit,94.13,221.0,94.13,126.87,0.0,False,57.41
67,33,2,1929.9,30,1037,2024-06-15,West,Net Banking,Electronics,Headphones,TechPro,1724.28,3859.8,3448.56,411.24000000000024,1157.94,True,10.65
68,270,3,66.0,0,1828,2023-09-03,West,COD,Clothing,Kids' Wear,ClassicWear,34.49,198.0,103.47,94.53,0.0,True,47.74
69,184,1,242.25,5,638,2023-10-29,East,COD,Clothing,Kids' Wear,TrendSetter,104.74,242.25,104.74,137.51,12.1125,True,56.76
70,161,1,50.4,20,518,2023-11-29,West,COD,Sports & Outdoors,Camping,ActiveGear,32.74,50.4,32.74,17.659999999999997,10.08,False,35.04
70,188,1,44.65,5,518,2023-11-29,West,COD,Books,Educational,WordCraft,18.39,44.65,18.39,26.259999999999998,2.2325,False,58.81
70,479,1,197.1,10,518,2023-11-29,West,COD,Clothing,Accessories,ClassicWear,225.07,197.1,225.07,-27.97,19.71,False,-14.19
71,243,1,191.25,15,998,2024-09-26,South,Credit Card,Home & Kitchen,Cookware,LivingSpace,124.72,191.25,124.72,66.53,28.6875,False,34.79
71,152,2,1484.0,0,998,2024-09-26,South,Credit Card,Electronics,Cameras,SkyNet,1010.92,2968.0,2021.84,946.1600000000001,0.0,False,31.88
71,310,1,25.65,5,998,2024-09-26,South,Credit Card,Sports & Outdoors,Yoga,OutdoorPro,12.97,25.65,12.97,12.679999999999998,1.2825,False,49.43
72,88,3,2739.0,25,206,2023-12-06,North,Credit Card,Electronics,Headphones,ZoomTech,2184.21,8217.0,6552.63,1664.37,2054.25,True,20.26
72,7,2,1353.0,25,206,2023-12-06,North,Credit Card,Electronics,Smartwatches,SkyNet,1027.55,2706.0,2055.1,650.9000000000001,676.5,False,24.05
73,208,2,139.4,15,1714,2023-12-27,West,UPI,Sports & Outdoors,Camping,FitLife,73.89,278.8,147.78,131.02,41.82,False,46.99
73,92,1,203.0,0,1714,2023-12-27,West,UPI,Clothing,Men's Wear,TrendSetter,104.24,203.0,104.24,98.76,0.0,False,48.65
73,178,2,1893.6,20,1714,2023-12-27,West,UPI,Electronics,Laptops,TechPro,1521.67,3787.2,3043.34,743.8599999999997,757.44,True,19.64
74,12,1,1437.6,20,830,2023-08-04,South,Net Banking,Electronics,Smartwatches,TechPro,1899.61,1437.6,1899.61,-462.01,287.52,False,-32.14
75,423,2,80.0,0,1035,2023-06-18,East,COD,Home & Kitchen,Furniture,DreamHome,48.86,160.0,97.72,62.28,0.0,False,38.92
76,152,1,1261.4,15,162,2023-05-25,South,Credit Card,Electronics,Cameras,SkyNet,1010.92,1261.4,1010.92,250.48000000000013,189.21,False,19.86
76,71,1,57.95,5,162,2023-05-25,South,Credit Card,Clothing,Accessories,UrbanFit,29.35,57.95,29.35,28.6,2.8975,False,49.35
76,370,1,78.0,0,162,2023-05-25,South,Credit Card,Books,Magazines,WordCraft,30.16,78.0,30.16,47.84,0.0,False,61.33
77,459,1,225.25,15,830,2024-12-11,South,Credit Card,Clothing,Men's Wear,TrendSetter,115.93,225.25,115.93,109.32,33.7875,False,48.53
77,82,1,63.9,10,830,2024-12-11,South,Credit Card,Sports & Outdoors,Cycling,OutdoorPro,36.32,63.9,36.32,27.58,6.39,False,43.16
78,193,2,521.05,15,926,2024-10-13,South,UPI,Home & Kitchen,Cookware,HomeEase,323.02,1042.1,646.04,396.05999999999995,156.31499999999997,True,38.01
78,302,1,172.0,0,926,2024-10-13,South,UPI,Clothing,Footwear,UrbanFit,69.27,172.0,69.27,102.73,0.0,True,59.73
79,251,1,166.4,20,1372,2023-10-10,South,UPI,Clothing,Footwear,FashionHub,109.25,166.4,109.25,57.150000000000006,33.28,False,34.34
79,184,1,216.75,15,1372,2023-10-10,South,UPI,Clothing,Kids' Wear,TrendSetter,104.74,216.75,104.74,112.01,32.5125,False,51.68
79,241,1,353.6,15,1372,2023-10-10,South,UPI,Sports & Outdoors,Team Sports,FitLife,227.27,353.6,227.27,126.33000000000001,53.04,False,35.73
79,305,1,371.45,5,1372,2023-10-10,South,UPI,Sports & Outdoors,Camping,ActiveGear,230.1,371.45,230.1,141.35,18.5725,False,38.05
80,316,1,117.8,5,162,2023-11-30,South,Debit Card,Home & Kitchen,Storage,DreamHome,65.56,117.8,65.56,52.239999999999995,5.89,False,44.35
80,292,1,57.0,5,162,2023-11-30,South,Debit Card,Home & Kitchen,Bedding,DreamHome,35.41,57.0,35.41,21.590000000000003,2.85,False,37.88
80,73,2,592.8,20,162,2023-11-30,South,Debit Card,Home & Kitchen,Decor,LivingSpace,447.51,1185.6,895.02,290.5799999999999,237.12,True,24.51
80,230,1,25.65,5,162,2023-11-30,South,Debit Card,Books,Fiction,PageTurner,12.96,25.65,12.96,12.689999999999998,1.2825,False,49.47
80,179,1,459.85,15,162,2023-11-30,South,Debit Card,Home & Kitchen,Cookware,LivingSpace,349.05,459.85,349.05,110.80000000000001,68.9775,False,24.09
81,113,1,207.0,0,291,2025-02-04,North,Debit Card,Clothing,Kids' Wear,FashionHub,99.72,207.0,99.72,107.28,0.0,False,51.83
81,433,3,20.0,0,291,2025-02-04,North,Debit Card,Books,Fiction,PageTurner,8.41,60.0,25.23,34.769999999999996,0.0,False,57.95
82,220,3,176.8,15,830,2023-10-20,South,Credit Card,Clothing,Footwear,FashionHub,84.71,530.4000000000001,254.13,276.2700000000001,79.56000000000002,False,52.09
82,214,1,92.0,0,830,2023-10-20,South,Credit Card,Clothing,Women's Wear,TrendSetter,43.47,92.0,43.47,48.53,0.0,False,52.75
83,11,1,150.0,0,1648,2023-11-19,North,Credit Card,Clothing,Kids' Wear,UrbanFit,60.22,150.0,60.22,89.78,0.0,True,59.85
84,158,1,168.8,20,1463,2023-12-25,South,Net Banking,Clothing,Accessories,FashionHub,94.3,168.8,94.3,74.50000000000001,33.76,False,44.14
84,448,1,1885.1,30,1463,2023-12-25,South,Net Banking,Electronics,Laptops,Electra,1643.86,1885.1,1643.86,241.24,565.53,False,12.8
84,172,1,38.0,0,1463,2023-12-25,South,Net Banking,Clothing,Kids' Wear,UrbanFit,19.82,38.0,19.82,18.18,0.0,True,47.84
85,409,1,1889.6,20,1372,2023-06-11,South,Debit Card,Electronics,Smartwatches,TechPro,1525.63,1889.6,1525.63,363.9699999999998,377.92,False,19.26
86,9,1,100.3,15,131,2024-12-25,West,Net Banking,Clothing,Accessories,FashionHub,61.01,100.3,61.01,39.29,15.045,False,39.17
86,366,2,185.3,15,131,2024-12-25,West,Net Banking,Clothing,Footwear,StyleCraft,103.85,370.6,207.7,162.90000000000003,55.59,False,43.96
86,256,1,108.0,10,131,2024-12-25,West,Net Banking,Clothing,Kids' Wear,ClassicWear,49.5,108.0,49.5,58.5,10.8,False,54.17
87,52,1,156.6,10,1033,2023-10-29,North,UPI,Clothing,Kids' Wear,StyleCraft,80.31,156.6,80.31,76.28999999999999,15.66,False,48.72
87,458,2,200.45,5,1033,2023-10-29,North,UPI,Sports & Outdoors,Camping,FitLife,123.28,400.9,246.56,154.33999999999997,20.045,False,38.5
