product_id,category,sub_category,brand,cost_price,selling_price,unit_margin_pct
39,Home & Kitchen,Bedding,LivingSpace,466.38,725.0,35.67
40,Sports & Outdoors,Team Sports,SportMax,115.16,231.0,50.15
41,Books,Comics,PageTurner,24.88,57.0,56.35
42,Clothing,Women's Wear,UrbanFit,49.88,110.0,54.65
43,Sports & Outdoors,Camping,OutdoorPro,186.37,349.0,46.6
44,Electronics,Cameras,SkyNet,626.52,1022.0,38.7
45,Electronics,Cameras,Electra,1522.08,2763.0,44.91
46,Home & Kitchen,Decor,ComfortPro,158.05,250.0,36.78
47,Clothing,Women's Wear,UrbanFit,99.69,197.0,49.4
48,Sports & Outdoors,Fitness,FitLife,199.68,407.0,50.94
49,Electronics,Smartwatches,SkyNet,2456.85,3867.0,36.47
50,Electronics,Headphones,Electra,2357.28,3410.0,30.87
51,Home & Kitchen,Storage,HomeEase,245.72,479.0,48.7
52,Clothing,Kids' Wear,StyleCraft,80.31,174.0,53.84
53,Electronics,Cameras,NovaTech,1436.91,2578.0,44.26
54,Clothing,Women's Wear,TrendSetter,59.12,114.0,48.14
55,Home & Kitchen,Cookware,DreamHome,207.19,380.0,45.48
56,Books,Non-Fiction,KnowledgeFirst,19.13,40.0,52.18
57,Sports & Outdoors,Yoga,TrailBlazer,75.59,154.0,50.92
58,Home & Kitchen,Bedding,HomeEase,141.44,263.0,46.22
59,Clothing,Women's Wear,ClassicWear,100.37,206.0,51.28
60,Home & Kitchen,Cookware,HomeEase,239.91,407.0,41.05
61,Books,Educational,WordCraft,18.37,39.0,52.9
62,Home & Kitchen,Decor,HomeEase,209.07,404.0,48.25
63,Home & Kitchen,Decor,LivingSpace,308.84,532.0,41.95
64,Clothing,Accessories,StyleCraft,130.75,293.0,55.38
65,Sports & Outdoors,Yoga,TrailBlazer,98.81,175.0,43.54
66,Books,Non-Fiction,LearnHub,12.44,35.0,64.46
67,Books,Comics,PageTurner,5.51,12.0,54.08
68,Clothing,Men's Wear,UrbanFit,16.86,37.0,54.43
69,Sports & Outdoors,Camping,SportMax,167.09,299.0,44.12
70,Home & Kitchen,Cookware,HomeEase,295.62,527.0,43.91
71,Clothing,Accessories,UrbanFit,29.35,61.0,51.89
72,Clothing,Men's Wear,FashionHub,37.89,89.0,57.43
73,Home & Kitchen,Decor,LivingSpace,447.51,741.0,39.61
74,Electronics,Cameras,NovaTech,1801.71,2751.0,34.51
75,Sports & Outdoors,Fitness,FitLife,129.46,275.0,52.92
76,Electronics,Smartwatches,TechPro,1869.13,2973.0,37.13
77,Home & Kitchen,Furniture,ComfortPro,98.02,178.0,44.93
78,Sports & Outdoors,Camping,ActiveGear,216.86,403.0,46.19
79,Clothing,Footwear,TrendSetter,47.21,101.0,53.26
80,Home & Kitchen,Storage,KitchenKing,300.27,485.0,38.09
81,Electronics,Mobile Phones,Electra,1797.43,2627.0,31.58
82,Sports & Outdoors,Cycling,OutdoorPro,36.32,71.0,48.85
83,Home & Kitchen,Furniture,ComfortPro,338.79,534.0,36.56
84,Books,Non-Fiction,WordCraft,23.46,49.0,52.12
85,Books,Comics,PageTurner,14.39,30.0,52.03
86,Electronics,Cameras,ZoomTech,538.11,933.0,42.32
87,Electronics,Laptops,ZoomTech,1292.79,2110.0,38.73
88,Electronics,Headphones,ZoomTech,2184.21,3652.0,40.19
89,Clothing,Accessories,FashionHub,90.22,203.0,55.56
90,Clothing,Accessories,TrendSetter,75.54,162.0,53.37
91,Clothing,Accessories,TrendSetter,68.6,134.0,48.81
92,Clothing,Men's Wear,TrendSetter,104.24,203.0,48.65
93,Sports & Outdoors,Yoga,SportMax,46.06,82.0,43.83
94,Clothing,Men's Wear,StyleCraft,13.85,33.0,58.03
95,Books,Non-Fiction,LearnHub,29.21,62.0,52.89
96,Electronics,Laptops,ZoomTech,2038.21,3643.0,44.05
97,Clothing,Men's Wear,TrendSetter,16.39,31.0,47.13
98,Sports & Outdoors,Camping,SportMax,251.8,516.0,51.2
99,Clothing,Footwear,ClassicWear,76.66,160.0,52.09
100,Home & Kitchen,Storage,LivingSpace,240.74,450.0,46.5
101,Sports & Outdoors,Fitness,TrailBlazer,174.81,174.0,-0.47
102,Electronics,Mobile Phones,NovaTech,2457.71,4449.0,44.76
103,Clothing,Accessories,StyleCraft,23.09,51.0,54.73
104,Books,Comics,KnowledgeFirst,7.58,21.0,63.9
105,Electronics,Mobile Phones,TechPro,1879.1,3225.0,41.73
106,Sports & Outdoors,Camping,ActiveGear,300.07,526.0,42.95
107,Books,Fiction,StoryHouse,10.14,22.0,53.91
108,Books,Comics,LearnHub,19.36,48.0,59.67
109,Electronics,Smartwatches,SkyNet,945.97,1592.0,40.58
110,Clothing,Footwear,UrbanFit,34.8,68.0,48.82
111,Sports & Outdoors,Team Sports,OutdoorPro,226.4,457.0,50.46
112,Electronics,Mobile Phones,NovaTech,1718.73,2555.0,32.73
113,Clothing,Kids' Wear,FashionHub,99.72,207.0,51.83
114,Clothing,Footwear,FashionHub,140.3,262.0,46.45
115,Home & Kitchen,Bedding,DreamHome,279.17,522.0,46.52
116,Clothing,Men's Wear,TrendSetter,93.72,179.0,47.64
117,Clothing,Footwear,ClassicWear,42.53,92.0,53.77
118,Clothing,Accessories,ClassicWear,13.04,28.0,53.43
119,Clothing,Women's Wear,ClassicWear,52.8,119.0,55.63
120,Clothing,Kids' Wear,StyleCraft,112.7,274.0,58.87
121,Home & Kitchen,Storage,KitchenKing,287.15,509.0,43.59
122,Home & Kitchen,Decor,LivingSpace,347.09,676.0,48.66
123,Clothing,Accessories,StyleCraft,93.44,226.0,58.65
124,Sports & Outdoors,Camping,TrailBlazer,238.72,418.0,42.89
125,Books,Magazines,WordCraft,24.93,65.0,61.65
126,Sports & Outdoors,Team Sports,ActiveGear,293.49,585.0,49.83
127,Sports & Outdoors,Yoga,ActiveGear,112.24,210.0,46.55
128,Clothing,Accessories,StyleCraft,83.72,209.0,59.94
129,Books,Comics,PageTurner,17.18,35.0,50.91
130,Clothing,Footwear,ClassicWear,46.7,112.0,58.3
131,Home & Kitchen,Bedding,HomeEase,101.94,162.0,37.07
132,Electronics,Laptops,TechPro,2837.99,4059.0,30.08
133,Books,Comics,WordCraft,25.64,71.0,63.89
134,Clothing,Footwear,TrendSetter,137.89,299.0,53.88
135,Electronics,Laptops,TechPro,562.71,888.0,36.63
136,Clothing,Men's Wear,FashionHub,19.0,46.0,58.7
137,Clothing,Kids' Wear,UrbanFit,9.35,20.0,53.25
138,Clothing,Kids' Wear,StyleCraft,94.74,195.0,51.42
139,Sports & Outdoors,Yoga,TrailBlazer,97.13,197.0,50.7
140,Electronics,Headphones,NovaTech,504.51,879.0,42.6
141,Sports & Outdoors,Team Sports,TrailBlazer,103.98,211.0,50.72
142,Home & Kitchen,Cookware,KitchenKing,468.0,736.0,36.41
143,Sports & Outdoors,Fitness,SportMax,93.57,193.0,51.52
144,Clothing,Men's Wear,UrbanFit,90.3,201.0,55.07
145,Home & Kitchen,Bedding,HomeEase,165.19,262.0,36.95
146,Books,Comics,WordCraft,17.99,48.0,62.52
147,Books,Magazines,PageTurner,25.16,64.0,60.69
148,Home & Kitchen,Bedding,LivingSpace,271.51,478.0,43.2
149,Sports & Outdoors,Fitness,FitLife,194.74,425.0,54.18
150,Home & Kitchen,Bedding,LivingSpace,343.94,601.0,42.77
151,Home & Kitchen,Bedding,HomeEase,217.31,397.0,45.26
152,Electronics,Cameras,SkyNet,1010.92,1484.0,31.88
153,Books,Non-Fiction,StoryHouse,14.12,30.0,52.93
154,Clothing,Accessories,UrbanFit,43.91,91.0,51.75
155,Books,Fiction,PageTurner,10.68,27.0,60.44
156,Sports & Outdoors,Yoga,TrailBlazer,46.77,94.0,50.24
157,Books,Comics,PageTurner,16.5,42.0,60.71
158,Clothing,Accessories,FashionHub,94.3,211.0,55.31
159,Clothing,Footwear,FashionHub,13.41,28.0,52.11
160,Sports & Outdoors,Cycling,SportMax,85.85,184.0,53.34
161,Sports & Outdoors,Camping,ActiveGear,32.74,63.0,48.03
162,Clothing,Women's Wear,UrbanFit,75.39,145.0,48.01
163,Home & Kitchen,Bedding,HomeEase,406.04,720.0,43.61
164,Home & Kitchen,Furniture,DreamHome,58.58,107.0,45.25
165,Clothing,Footwear,FashionHub,76.67,188.0,59.22
166,Electronics,Smartwatches,NovaTech,1869.03,1651.0,-13.21
167,Electronics,Laptops,SkyNet,2312.14,4059.0,43.04
168,Home & Kitchen,Bedding,ComfortPro,53.75,84.0,36.01
169,Books,Magazines,PageTurner,12.78,28.0,54.36
170,Home & Kitchen,Furniture,KitchenKing,225.44,390.0,42.19
171,Home & Kitchen,Decor,KitchenKing,510.73,792.0,35.51
172,Clothing,Kids' Wear,UrbanFit,19.82,38.0,47.84
173,Sports & Outdoors,Team Sports,ActiveGear,28.44,59.0,51.8
174,Clothing,Footwear,ClassicWear,121.64,264.0,53.92
175,Sports & Outdoors,Team Sports,TrailBlazer,270.6,584.0,53.66
176,Clothing,Women's Wear,StyleCraft,82.82,154.0,46.22
177,Books,Comics,LearnHub,10.83,29.0,62.66
178,Electronics,Laptops,TechPro,1521.67,2367.0,35.71
179,Home & Kitchen,Cookware,LivingSpace,349.05,541.0,35.48
180,Sports & Outdoors,Team Sports,TrailBlazer,192.39,405.0,52.5
181,Sports & Outdoors,Yoga,TrailBlazer,184.2,398.0,53.72
182,Books,Magazines,WordCraft,21.23,56.0,62.09
183,Home & Kitchen,Cookware,DreamHome,208.21,367.0,43.27
184,Clothing,Kids' Wear,TrendSetter,104.74,255.0,58.93
185,Clothing,Kids' Wear,StyleCraft,64.23,119.0,46.03
186,Clothing,Kids' Wear,ClassicWear,105.51,204.0,48.28
187,Home & Kitchen,Decor,DreamHome,273.43,498.0,45.09
188,Books,Educational,WordCraft,18.39,47.0,60.87
189,Home & Kitchen,Cookware,ComfortPro,320.15,538.0,40.49
190,Electronics,Headphones,Electra,409.75,597.0,31.37
191,Sports & Outdoors,Camping,SportMax,192.51,417.0,53.83
192,Books,Magazines,StoryHouse,17.4,44.0,60.45
193,Home & Kitchen,Cookware,HomeEase,323.02,613.0,47.31
194,Sports & Outdoors,Fitness,ActiveGear,74.21,125.0,40.63
195,Sports & Outdoors,Team Sports,TrailBlazer,138.27,299.0,53.76
196,Home & Kitchen,Decor,LivingSpace,95.33,173.0,44.9
197,Sports & Outdoors,Yoga,ActiveGear,200.93,390.0,48.48
198,Electronics,Laptops,TechPro,1166.59,2016.0,42.13
199,Electronics,Mobile Phones,NovaTech,907.17,1538.0,41.02
200,Electronics,Mobile Phones,SkyNet,892.24,1536.0,41.91
201,Home & Kitchen,Furniture,HomeEase,190.32,334.0,43.02
202,Clothing,Footwear,StyleCraft,53.44,99.0,46.02
203,Home & Kitchen,Cookware,DreamHome,162.8,294.0,44.63
204,Electronics,Smartwatches,NovaTech,1207.89,1928.0,37.35
205,Sports & Outdoors,Team Sports,OutdoorPro,294.93,288.0,-2.41
206,Home & Kitchen,Storage,LivingSpace,433.76,778.0,44.25
207,Clothing,Footwear,StyleCraft,32.6,61.0,46.56
208,Sports & Outdoors,Camping,FitLife,73.89,164.0,54.95
209,Clothing,Accessories,ClassicWear,103.77,224.0,53.67
210,Clothing,Men's Wear,UrbanFit,51.16,119.0,57.01
211,Books,Comics,LearnHub,12.95,29.0,55.34
212,Books,Non-Fiction,StoryHouse,12.88,36.0,64.22
213,Clothing,Men's Wear,UrbanFit,61.91,119.0,47.97
214,Clothing,Women's Wear,TrendSetter,43.47,92.0,52.75
215,Sports & Outdoors,Team Sports,OutdoorPro,164.68,276.0,40.33
216,Clothing,Footwear,TrendSetter,16.0,37.0,56.76
217,Clothing,Accessories,UrbanFit,94.13,221.0,57.41
218,Home & Kitchen,Furniture,KitchenKing,225.37,354.0,36.34
219,Home & Kitchen,Cookware,KitchenKing,96.63,172.0,43.82
220,Clothing,Footwear,FashionHub,84.71,208.0,59.27
221,Clothing,Kids' Wear,UrbanFit,18.43,38.0,51.5
222,Home & Kitchen,Storage,DreamHome,220.59,436.0,49.41
223,Electronics,Cameras,NovaTech,675.86,1044.0,35.26
224,Books,Non-Fiction,PageTurner,21.84,49.0,55.43
225,Clothing,Accessories,TrendSetter,53.82,130.0,58.6
226,Sports & Outdoors,Cycling,OutdoorPro,46.46,99.0,53.07
227,Home & Kitchen,Decor,HomeEase,314.77,551.0,42.87
228,Books,Non-Fiction,KnowledgeFirst,17.2,37.0,53.51
229,Sports & Outdoors,Camping,ActiveGear,240.8,485.0,50.35
230,Books,Fiction,PageTurner,12.96,27.0,52.0
231,Home & Kitchen,Bedding,DreamHome,231.21,456.0,49.3
232,Electronics,Laptops,Electra,1841.98,2772.0,33.55
233,Electronics,Headphones,ZoomTech,2013.5,3446.0,41.57
234,Sports & Outdoors,Team Sports,OutdoorPro,80.18,177.0,54.7
235,Sports & Outdoors,Camping,TrailBlazer,282.94,543.0,47.89
236,Clothing,Women's Wear,UrbanFit,23.26,58.0,59.9
237,Clothing,Accessories,FashionHub,40.4,89.0,54.61
238,Electronics,Cameras,ZoomTech,1772.34,2720.0,34.84
239,Clothing,Accessories,UrbanFit,145.09,267.0,45.66
240,Books,Magazines,KnowledgeFirst,18.04,44.0,59.0
241,Sports & Outdoors,Team Sports,FitLife,227.27,416.0,45.37
242,Home & Kitchen,Bedding,ComfortPro,303.08,584.0,48.1
243,Home & Kitchen,Cookware,LivingSpace,124.72,225.0,44.57
244,Clothing,Kids' Wear,TrendSetter,35.3,75.0,52.93
245,Books,Non-Fiction,StoryHouse,14.97,34.0,55.97
246,Clothing,Accessories,StyleCraft,45.28,98.0,53.8
247,Clothing,Men's Wear,StyleCraft,115.89,249.0,53.46
248,Clothing,Footwear,TrendSetter,142.58,272.0,47.58
249,Clothing,Men's Wear,StyleCraft,111.2,274.0,59.42
250,Sports & Outdoors,Cycling,FitLife,30.77,58.0,46.95
251,Clothing,Footwear,FashionHub,109.25,208.0,47.48
252,Home & Kitchen,Bedding,HomeEase,410.2,752.0,45.45
253,Home & Kitchen,Cookware,LivingSpace,73.61,129.0,42.94
254,Electronics,Mobile Phones,Electra,1078.26,1944.0,44.53
255,Electronics,Smartwatches,Electra,2075.99,3542.0,41.39
256,Clothing,Kids' Wear,ClassicWear,49.5,120.0,58.75
257,Clothing,Men's Wear,ClassicWear,100.8,207.0,51.3
258,Books,Comics,LearnHub,11.68,24.0,51.33
259,Books,Magazines,LearnHub,7.53,17.0,55.71
260,Sports & Outdoors,Team Sports,FitLife,85.56,179.0,52.2
261,Books,Educational,WordCraft,12.56,27.0,53.48
262,Electronics,Cameras,NovaTech,1416.23,2335.0,39.35
263,Clothing,Women's Wear,StyleCraft,62.81,157.0,59.99
264,Books,Non-Fiction,StoryHouse,13.34,35.0,61.89
265,Sports & Outdoors,Fitness,ActiveGear,38.82,68.0,42.91
266,Books,Fiction,WordCraft,13.63,36.0,62.14
267,Sports & Outdoors,Team Sports,ActiveGear,64.94,112.0,42.02
268,Sports & Outdoors,Yoga,FitLife,196.72,426.0,53.82
269,Clothing,Accessories,ClassicWear,116.77,228.0,48.79
270,Clothing,Kids' Wear,ClassicWear,34.49,66.0,47.74
271,Books,Magazines,KnowledgeFirst,37.04,79.0,53.11
272,Clothing,Men's Wear,UrbanFit,78.68,166.0,52.6
273,Home & Kitchen,Bedding,KitchenKing,25.26,39.0,35.23
274,Sports & Outdoors,Cycling,ActiveGear,216.56,458.0,52.72
275,Sports & Outdoors,Camping,OutdoorPro,167.99,341.0,50.74
276,Electronics,Smartwatches,ZoomTech,1793.46,2811.0,36.2
277,Clothing,Kids' Wear,TrendSetter,29.95,57.0,47.46
278,Home & Kitchen,Furniture,LivingSpace,325.63,574.0,43.27
279,Clothing,Footwear,StyleCraft,78.93,158.0,50.04
280,Clothing,Kids' Wear,FashionHub,86.79,189.0,54.08
281,Sports & Outdoors,Team Sports,TrailBlazer,64.27,136.0,52.74
282,Clothing,Women's Wear,ClassicWear,133.58,292.0,54.25
283,Home & Kitchen,Storage,KitchenKing,360.69,717.0,49.69
284,Electronics,Mobile Phones,Electra,1271.67,2041.0,37.69
285,Electronics,Laptops,TechPro,1060.64,1686.0,37.09
286,Electronics,Headphones,NovaTech,2183.97,3508.0,37.74
287,Electronics,Headphones,NovaTech,659.97,1162.0,43.2
288,Electronics,Mobile Phones,ZoomTech,929.88,1584.0,41.3
289,Books,Comics,StoryHouse,14.11,29.0,51.34
290,Home & Kitchen,Storage,HomeEase,452.6,783.0,42.2
291,Electronics,Smartwatches,NovaTech,942.82,1414.0,33.32
292,Home & Kitchen,Bedding,DreamHome,35.41,60.0,40.98
293,Clothing,Kids' Wear,StyleCraft,44.62,94.0,52.53
294,Clothing,Accessories,TrendSetter,14.11,33.0,57.24
295,Clothing,Women's Wear,TrendSetter,63.22,136.0,53.51
296,Home & Kitchen,Decor,HomeEase,88.94,174.0,48.89
297,Electronics,Mobile Phones,SkyNet,681.32,1180.0,42.26
298,Clothing,Kids' Wear,TrendSetter,80.29,162.0,50.44
299,Clothing,Men's Wear,ClassicWear,81.72,160.0,48.92
300,Books,Comics,PageTurner,17.66,38.0,53.53
301,Clothing,Men's Wear,FashionHub,111.54,236.0,52.74
302,Clothing,Footwear,UrbanFit,69.27,172.0,59.73
303,Books,Educational,StoryHouse,10.63,24.0,55.71
304,Sports & Outdoors,Team Sports,FitLife,204.13,441.0,53.71
305,Sports & Outdoors,Camping,ActiveGear,230.1,391.0,41.15
306,Clothing,Men's Wear,UrbanFit,111.05,265.0,58.09
307,Electronics,Laptops,Electra,1499.43,2347.0,36.11
308,Clothing,Women's Wear,StyleCraft,79.28,195.0,59.34
309,Books,Educational,LearnHub,37.53,35.0,-7.23
310,Sports & Outdoors,Yoga,OutdoorPro,12.97,27.0,51.96
311,Books,Magazines,KnowledgeFirst,25.64,58.0,55.79
312,Sports & Outdoors,Yoga,TrailBlazer,32.2,70.0,54.0
313,Books,Fiction,StoryHouse,20.5,53.0,61.32
314,Clothing,Footwear,FashionHub,102.31,94.0,-8.84
315,Sports & Outdoors,Fitness,SportMax,315.03,536.0,41.23
316,Home & Kitchen,Storage,DreamHome,65.56,124.0,47.13
317,Home & Kitchen,Bedding,LivingSpace,255.76,402.0,36.38
318,Electronics,Laptops,ZoomTech,887.96,1586.0,44.01
319,Home & Kitchen,Furniture,ComfortPro,412.98,705.0,41.42
320,Clothing,Footwear,FashionHub,121.33,290.0,58.16
321,Clothing,Accessories,UrbanFit,34.57,65.0,46.82
322,Books,Educational,LearnHub,16.89,40.0,57.78
323,Home & Kitchen,Storage,DreamHome,24.92,46.0,45.83
324,Clothing,Footwear,ClassicWear,70.97,131.0,45.82
325,Books,Fiction,StoryHouse,6.71,16.0,58.06
326,Sports & Outdoors,Fitness,ActiveGear,66.88,141.0,52.57
327,Clothing,Kids' Wear,TrendSetter,77.13,151.0,48.92
328,Clothing,Women's Wear,TrendSetter,45.94,93.0,50.6
329,Clothing,Accessories,ClassicWear,72.9,174.0,58.1
330,Electronics,Mobile Phones,TechPro,2793.58,4902.0,43.01
331,Books,Educational,WordCraft,10.13,26.0,61.04
332,Electronics,Smartwatches,SkyNet,2313.51,3516.0,34.2
333,Home & Kitchen,Furniture,LivingSpace,257.9,484.0,46.71
334,Clothing,Women's Wear,ClassicWear,117.26,238.0,50.73
335,Sports & Outdoors,Yoga,ActiveGear,254.68,547.0,53.44
336,Clothing,Accessories,ClassicWear,53.89,101.0,46.64
337,Books,Educational,PageTurner,17.04,36.0,52.67
338,Books,Fiction,LearnHub,18.45,44.0,58.07
339,Electronics,Smartwatches,SkyNet,1441.22,2262.0,36.29
340,Electronics,Laptops,SkyNet,1897.92,3103.0,38.84
341,Clothing,Kids' Wear,StyleCraft,130.26,258.0,49.51
342,Clothing,Accessories,TrendSetter,32.62,80.0,59.23
343,Clothing,Kids' Wear,UrbanFit,207.36,198.0,-4.73
344,Home & Kitchen,Decor,HomeEase,167.85,313.0,46.37
345,Electronics,Laptops,SkyNet,1777.91,2603.0,31.7
346,Books,Educational,PageTurner,18.04,39.0,53.74
347,Sports & Outdoors,Cycling,OutdoorPro,101.15,194.0,47.86
348,Clothing,Men's Wear,FashionHub,154.15,299.0,48.44
349,Sports & Outdoors,Cycling,SportMax,219.54,418.0,47.48
350,Sports & Outdoors,Fitness,TrailBlazer,117.12,229.0,48.86
351,Books,Comics,PageTurner,12.11,26.0,53.42
352,Clothing,Men's Wear,StyleCraft,115.2,214.0,46.17
353,Sports & Outdoors,Cycling,ActiveGear,64.39,127.0,49.3
354,Clothing,Men's Wear,StyleCraft,75.09,153.0,50.92
355,Electronics,Mobile Phones,NovaTech,1718.75,2759.0,37.7
356,Books,Fiction,LearnHub,24.85,66.0,62.35
357,Home & Kitchen,Storage,LivingSpace,126.72,218.0,41.87
358,Sports & Outdoors,Cycling,SportMax,27.12,48.0,43.5
359,Books,Non-Fiction,PageTurner,14.76,30.0,50.8
360,Electronics,Cameras,TechPro,1352.82,2372.0,42.97
361,Home & Kitchen,Cookware,ComfortPro,207.79,402.0,48.31
362,Books,Fiction,KnowledgeFirst,11.33,30.0,62.23
363,Home & Kitchen,Furniture,HomeEase,173.91,310.0,43.9
364,Electronics,Smartwatches,Electra,4195.16,3890.0,-7.84
365,Clothing,Women's Wear,UrbanFit,62.57,147.0,57.44
366,Clothing,Footwear,StyleCraft,103.85,218.0,52.36
367,Electronics,Smartwatches,SkyNet,2223.66,3465.0,35.83
368,Clothing,Men's Wear,UrbanFit,34.49,68.0,49.28
369,Electronics,Mobile Phones,SkyNet,2420.42,3524.0,31.32
370,Books,Magazines,WordCraft,30.16,78.0,61.33
371,Sports & Outdoors,Camping,OutdoorPro,100.55,203.0,50.47
372,Clothing,Men's Wear,FashionHub,110.8,203.0,45.42
373,Clothing,Men's Wear,ClassicWear,38.32,92.0,58.35
374,Electronics,Mobile Phones,SkyNet,1091.42,1779.0,38.65
375,Electronics,Mobile Phones,NovaTech,1013.29,1644.0,38.36
376,Books,Educational,StoryHouse,12.52,29.0,56.83
377,Electronics,Cameras,NovaTech,594.31,957.0,37.9
378,Sports & Outdoors,Camping,SportMax,189.76,327.0,41.97
379,Electronics,Mobile Phones,SkyNet,1823.79,2965.0,38.49
380,Sports & Outdoors,Fitness,SportMax,223.2,381.0,41.42
381,Electronics,Headphones,Electra,416.92,662.0,37.02
382,Books,Comics,LearnHub,5.71,16.0,64.31
383,Clothing,Women's Wear,UrbanFit,40.24,76.0,47.05
384,Sports & Outdoors,Team Sports,FitLife,30.31,53.0,42.81
385,Sports & Outdoors,Fitness,OutdoorPro,228.99,390.0,41.28
386,Sports & Outdoors,Yoga,TrailBlazer,138.79,237.0,41.44
387,Clothing,Kids' Wear,ClassicWear,22.69,47.0,51.72
388,Sports & Outdoors,Yoga,FitLife,83.1,182.0,54.34
389,Home & Kitchen,Furniture,ComfortPro,404.6,714.0,43.33
390,Clothing,Accessories,ClassicWear,52.28,122.0,57.15
391,Sports & Outdoors,Team Sports,TrailBlazer,63.46,141.0,54.99
392,Clothing,Accessories,UrbanFit,197.57,192.0,-2.9
393,Electronics,Headphones,SkyNet,461.42,759.0,39.21
394,Home & Kitchen,Bedding,DreamHome,216.32,391.0,44.68
395,Clothing,Accessories,StyleCraft,121.99,224.0,45.54
396,Sports & Outdoors,Cycling,SportMax,151.93,335.0,54.65
397,Home & Kitchen,Bedding,DreamHome,81.43,129.0,36.88
398,Home & Kitchen,Decor,ComfortPro,168.14,327.0,48.58
399,Home & Kitchen,Storage,HomeEase,121.13,205.0,40.91
400,Home & Kitchen,Decor,ComfortPro,213.38,420.0,49.2
401,Electronics,Headphones,TechPro,2221.6,3453.0,35.66
402,Sports & Outdoors,Yoga,SportMax,219.71,418.0,47.44
403,Sports & Outdoors,Yoga,ActiveGear,58.61,119.0,50.75
404,Home & Kitchen,Decor,HomeEase,345.13,551.0,37.36
405,Electronics,Mobile Phones,SkyNet,2527.65,4500.0,43.83
406,Clothing,Kids' Wear,FashionHub,13.74,29.0,52.62
407,Sports & Outdoors,Cycling,ActiveGear,125.32,210.0,40.32
408,Clothing,Footwear,ClassicWear,52.04,110.0,52.69
409,Electronics,Smartwatches,TechPro,1525.63,2362.0,35.41
410,Sports & Outdoors,Camping,ActiveGear,103.94,202.0,48.54
411,Clothing,Women's Wear,TrendSetter,66.65,125.0,46.68
412,Clothing,Women's Wear,FashionHub,12.35,23.0,46.3
413,Clothing,Kids' Wear,UrbanFit,40.02,90.0,55.53
414,Sports & Outdoors,Team Sports,SportMax,73.2,161.0,54.53
415,Home & Kitchen,Bedding,HomeEase,146.48,253.0,42.1
416,Electronics,Cameras,TechPro,1353.22,2239.0,39.56
417,Electronics,Smartwatches,ZoomTech,2318.7,3320.0,30.16
418,Sports & Outdoors,Yoga,TrailBlazer,207.78,379.0,45.18
419,Electronics,Smartwatches,ZoomTech,1746.08,2522.0,30.77
420,Clothing,Women's Wear,ClassicWear,103.64,216.0,52.02
421,Clothing,Accessories,StyleCraft,122.31,242.0,49.46
422,Sports & Outdoors,Camping,SportMax,17.73,37.0,52.08
423,Home & Kitchen,Furniture,DreamHome,48.86,80.0,38.92
424,Sports & Outdoors,Camping,TrailBlazer,221.91,414.0,46.4
